2026-05-06 13:31:17, MOVE, v:1, k:ed@editorint, mode:DOWN
2026-05-06 13:31:18, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-06 13:32:58, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 13:34:42, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-06 13:31:17, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-06 13:31:17, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-06 13:31:17, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-06 13:31:17, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-06 13:32:43, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-06 13:32:43, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-06 13:58:36, EXEC, v:1, k:ed@editorint, mode:LOCK, rate:0, size:261
2026-05-06 13:58:38, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-06 13:59:40, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-06 13:59:48, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 14:00:36, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-06 14:00:38, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 14:00:57, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-06 14:01:35, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-06 14:01:36, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 14:01:55, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-06 14:06:13, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-06 14:09:40, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-06 14:09:42, EXEC, v:1, k:ed@editorint, mode:FREE, size:266
2026-05-06 14:09:38, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-06 14:15:09, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 14:15:44, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 14:24:22, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 14:26:30, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 14:27:45, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 14:38:47, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 14:39:21, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 14:40:32, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 14:41:00, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 14:43:15, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 14:59:17, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:00:41, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:01:11, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:01:43, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:02:49, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:04:01, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:09:56, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:15:58, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:16:27, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:20:45, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:24:15, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:26:31, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:27:47, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:28:48, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:30:34, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:31:31, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-06 15:36:23, SELF, v:1, k:ed@editorint, self:1, rate:70, study:100
